V,uA
0.173528,0.391998
0.183736,0.892496
0.193943,1.354493
0.204151,1.777992
0.214358,2.15949
0.224566,2.519988
0.234774,2.845487
0.244981,3.142986
0.255189,3.422984
0.265396,3.674983
0.275604,3.919982
0.285811,4.143981
0.296019,4.34698
0.306227,4.542979
0.316434,4.721479
0.326642,4.896478
0.336849,5.057477
0.347057,5.211476
0.357264,5.365476
0.367472,5.505475
0.37768,5.641974
0.387887,5.781974
0.398095,5.911473
0.408302,6.051472
0.41851,6.187972
0.428717,6.324471
0.438925,6.471471
0.449133,6.61497
0.45934,6.772469
0.469548,6.936969
0.479755,7.111968
0.489963,7.307967
0.50017,7.507466
0.510378,7.731465
0.520586,7.972964
0.530793,8.224963
0.541001,8.504962
0.551208,8.79546
0.561416,9.106959
0.571623,9.432457
0.581831,9.768457
0.592039,10.125454
0.602246,10.485953
0.612454,10.863951
0.622661,11.255949
0.632869,11.647948
0.643076,12.057446
0.653284,12.470444
0.663492,12.883442
0.673699,13.31394
0.683907,13.740938
0.694114,14.188936
0.704322,14.629934
0.714529,15.081432
0.724737,15.54343
0.734945,15.998428
0.745152,16.470927
0.75536,16.946924
0.765567,17.426422
0.775775,17.90942
0.785982,18.392418
0.79619,18.889414
0.806398,19.386414
0.816605,19.88691
0.826813,20.404908
0.83702,20.908906
0.847228,21.430404
0.857435,21.955402
0.867643,22.4769
0.87785,23.012398
0.888058,23.558394
0.898266,24.114892
0.908473,24.40889
0.918681,24.104392
0.928888,23.820892
0.939096,23.547894
0.949303,23.292394
0.959511,23.047396
0.969719,22.812898
0.979926,22.588898
0.990134,22.3754
1.000341,22.1759
0.990134,21.976402
0.979926,21.790902
0.969719,21.615904
0.959511,21.447904
0.949303,21.283404
0.939096,21.122406
0.928888,20.835406
0.918681,19.456412
0.908473,18.15792
0.898266,16.904924
0.888058,15.71143
0.87785,14.556434
0.867643,13.43994
0.857435,12.365445
0.847228,11.325949
0.83702,10.328453
0.826813,9.358958
0.816605,8.427962
0.806398,7.542466
0.79619,6.68147
0.785982,5.862474
0.775775,5.071477
0.765567,4.315481
0.75536,3.594483
0.745152,2.897987
0.734945,2.23999
0.724737,1.609992
0.714529,1.000995
0.704322,0.423498
