V,uA
0.01020757,-10.639952
0.02041514,-7.895964
0.03062271,-6.103972
0.04083028,-4.759978
0.051037852,-3.695983
0.06124542,-2.827987
0.071452992,-2.08599
0.08166056,-1.469993
0.091868136,-0.923995
0.102075,-0.447998
0.112283,-0.027999876
0.12249,0.321998
0.132698,0.647497
0.142905,0.927495
0.153113,1.168994
0.163321,1.382493
0.173528,1.564493
0.183736,1.728992
0.193943,1.865491
0.204151,1.987991
0.214358,2.08949
0.224566,2.18049
0.234774,2.25399
0.244981,2.320489
0.255189,2.376489
0.265396,2.425489
0.275604,2.467488
0.285811,2.509488
0.296019,2.544488
0.306227,2.579488
0.316434,2.614488
0.326642,2.649488
0.336849,2.691488
0.347057,2.729987
0.357264,2.778987
0.367472,2.831487
0.37768,2.883987
0.387887,2.946986
0.398095,3.016986
0.408302,3.093986
0.41851,3.177985
0.428717,3.268985
0.438925,3.370484
0.449133,3.482484
0.45934,3.597983
0.469548,3.730983
0.479755,3.867482
0.489963,4.017982
0.50017,4.175481
0.510378,4.33298
0.520586,4.504479
0.530793,4.675979
0.541001,4.854478
0.551208,5.043477
0.561416,5.228976
0.571623,5.421476
0.581831,5.613975
0.592039,5.809973
0.602246,6.009473
0.612454,6.212472
0.622661,6.418971
0.632869,6.62897
0.643076,6.838969
0.653284,7.059468
0.663492,7.269467
0.673699,7.493466
0.683907,7.724465
0.694114,7.955464
0.704322,8.193463
0.714529,8.434962
0.724737,8.686961
0.734945,8.93896
0.745152,9.201459
0.75536,9.474458
0.765567,9.747456
0.775775,10.034455
0.785982,10.328453
0.79619,10.625953
0.806398,10.933951
0.816605,11.245449
0.826813,11.574448
0.83702,11.906947
0.847228,12.249945
0.857435,12.603443
0.867643,12.960441
0.87785,13.32794
0.888058,13.709438
0.898266,13.940437
0.908473,13.740938
0.918681,13.558939
0.928888,13.38744
0.939096,13.22994
0.949303,13.079442
0.959511,12.935941
0.969719,12.802942
0.979926,12.673443
0.990134,12.550943
1.000341,12.431944
0.990134,12.319944
0.979926,12.211445
0.969719,12.109946
0.959511,12.011946
0.949303,11.917447
0.939096,11.829947
0.928888,11.742447
0.918681,11.444949
0.908473,10.545452
0.898266,9.691457
0.888058,8.88296
0.87785,8.116463
0.867643,7.377967
0.857435,6.67447
0.847228,5.998973
0.83702,5.347976
0.826813,4.728478
0.816605,4.136981
0.806398,3.573484
0.79619,3.034486
0.785982,2.523488
0.775775,2.04049
0.765567,1.571493
0.75536,1.133994
0.745152,0.717496
0.734945,0.321998
0.724737,-0.0454998
0.714529,-0.398998
0.704322,-0.733246
0.694114,-1.049995
0.683907,-1.350994
0.673699,-1.632742
0.663492,-1.902241
0.653284,-2.15599
0.643076,-2.397489
0.632869,-2.631988
0.622661,-2.852487
0.612454,-3.067736
0.602246,-3.270735
0.592039,-3.466734
0.581831,-3.659233
0.571623,-3.841232
0.561416,-4.023232
0.551208,-4.205231
0.541001,-4.38023
0.530793,-4.555229
0.520586,-4.728478
0.510378,-4.899978
0.50017,-5.073227
0.489963,-5.246476
0.479755,-5.424975
0.469548,-5.596475
0.45934,-5.769724
0.449133,-5.942973
0.438925,-6.112722
0.428717,-6.282471
0.41851,-6.453971
0.408302,-6.62197
0.398095,-6.789969
0.387887,-6.956219
0.37768,-7.124218
0.367472,-7.286967
0.357264,-7.447966
0.347057,-7.610715
0.336849,-7.766465
0.326642,-7.918714
0.316434,-8.067463
0.306227,-8.210963
0.296019,-8.350963
0.285811,-8.483962
0.275604,-8.616961
0.265396,-8.74296
0.255189,-8.86021
0.244981,-8.973959
0.234774,-9.082459
0.224566,-9.180459
0.214358,-9.276708
0.204151,-9.367708
0.193943,-9.451708
0.183736,-9.532207
0.173528,-9.605707
0.163321,-9.677456
0.153113,-9.743957
0.142905,-9.810456
0.132698,-9.875206
0.12249,-9.932955
0.112283,-9.992455
0.102075,-10.050205
0.091868136,-10.104455
0.08166056,-10.158704
0.071452992,-10.214704
0.06124542,-10.272454
0.051037852,-10.326703
0.04083028,-10.380953
0.03062271,-10.440453
0.02041514,-10.494703
0.01020757,-10.554203
