V,uA
0,-27.103878
0.01020757,-21.167904
0.02041514,-18.591918
0.03062271,-15.623929
0.04083028,-13.551939
0.051037852,-11.423949
0.06124542,-9.687956
0.071452992,-8.175963
0.08166056,-7.083968
0.091868136,-5.879973
0.102075,-4.815978
0.112283,-3.863982
0.12249,-2.981986
0.132698,-2.15599
0.142905,-1.427993
0.153113,-0.762996
0.163321,-0.160999
0.173528,0.391998
0.183736,0.892496
0.193943,1.354493
0.204151,1.777992
0.214358,2.15949
0.224566,2.519988
0.234774,2.845487
0.244981,3.142986
0.255189,3.422984
0.265396,3.674983
0.275604,3.919982
0.285811,4.143981
0.296019,4.34698
0.306227,4.542979
0.316434,4.721479
0.326642,4.896478
0.336849,5.057477
0.347057,5.211476
0.357264,5.365476
0.367472,5.505475
0.37768,5.641974
0.387887,5.781974
0.398095,5.911473
0.408302,6.051472
0.41851,6.187972
0.428717,6.324471
0.438925,6.471471
0.449133,6.61497
0.45934,6.772469
0.469548,6.936969
0.479755,7.111968
0.489963,7.307967
0.50017,7.507466
0.510378,7.731465
0.520586,7.972964
0.530793,8.224963
0.541001,8.504962
0.551208,8.79546
0.561416,9.106959
0.571623,9.432457
0.581831,9.768457
0.592039,10.125454
0.602246,10.485953
0.612454,10.863951
0.622661,11.255949
0.632869,11.647948
0.643076,12.057446
0.653284,12.470444
0.663492,12.883442
0.673699,13.31394
0.683907,13.740938
0.694114,14.188936
0.704322,14.629934
0.714529,15.081432
0.724737,15.54343
0.734945,15.998428
0.745152,16.470927
0.75536,16.946924
0.765567,17.426422
0.775775,17.90942
0.785982,18.392418
0.79619,18.889414
0.806398,19.386414
0.816605,19.88691
0.826813,20.404908
0.83702,20.908906
0.847228,21.430404
0.857435,21.955402
0.867643,22.4769
0.87785,23.012398
0.888058,23.558394
0.898266,24.114892
0.908473,24.40889
0.918681,24.104392
0.928888,23.820892
0.939096,23.547894
0.949303,23.292394
0.959511,23.047396
0.969719,22.812898
0.979926,22.588898
0.990134,22.3754
1.000341,22.1759
0.990134,21.976402
0.979926,21.790902
0.969719,21.615904
0.959511,21.447904
0.949303,21.283404
0.939096,21.122406
0.928888,20.835406
0.918681,19.456412
0.908473,18.15792
0.898266,16.904924
0.888058,15.71143
0.87785,14.556434
0.867643,13.43994
0.857435,12.365445
0.847228,11.325949
0.83702,10.328453
0.826813,9.358958
0.816605,8.427962
0.806398,7.542466
0.79619,6.68147
0.785982,5.862474
0.775775,5.071477
0.765567,4.315481
0.75536,3.594483
0.745152,2.897987
0.734945,2.23999
0.724737,1.609992
0.714529,1.000995
0.704322,0.423498
0.694114,-0.132999
0.683907,-0.668497
0.673699,-1.184744
0.663492,-1.686992
0.653284,-2.16124
0.643076,-2.631988
0.632869,-3.085236
0.622661,-3.517484
0.612454,-3.942732
0.602246,-4.34698
0.592039,-4.758228
0.581831,-5.169476
0.571623,-5.571975
0.561416,-5.983223
0.551208,-6.380471
0.541001,-6.781219
0.530793,-7.178468
0.520586,-7.568716
0.510378,-7.967714
0.50017,-8.354462
0.489963,-8.74471
0.479755,-9.140209
0.469548,-9.516457
0.45934,-9.904955
0.449133,-10.282954
0.438925,-10.660952
0.428717,-11.04245
0.41851,-11.416949
0.408302,-11.800197
0.398095,-12.174695
0.387887,-12.547444
0.37768,-12.928942
0.367472,-13.29294
0.357264,-13.662188
0.347057,-14.027937
0.336849,-14.383186
0.326642,-14.733184
0.316434,-15.069182
0.306227,-15.401681
0.296019,-15.718429
0.285811,-16.019428
0.275604,-16.334426
0.265396,-16.621425
0.255189,-16.901424
0.244981,-17.177922
0.234774,-17.433422
0.224566,-17.68542
0.214358,-17.92692
0.204151,-18.161418
0.193943,-18.388918
0.183736,-18.595418
0.173528,-18.808916
0.163321,-19.001416
0.153113,-19.186914
0.142905,-19.372412
0.132698,-19.543912
0.12249,-19.71191
0.112283,-19.872912
0.102075,-20.03041
0.091868136,-20.18091
0.08166056,-20.324408
0.071452992,-20.471408
0.06124542,-20.614908
0.051037852,-20.744408
0.04083028,-20.436408
0.03062271,-20.05841
0.02041514,-19.694412
0.01020757,-19.344414
0,-19.008414
